Testing Set, Iso Train Results, Copy Train Results, Synth Trian Results
TestSet1iso,0.947916666667,0.85,0.875,
TestSet2iso,0.9375,0.825,0.85,
TestSet3iso,0.96875,0.916666666667,0.9,
TestSet4iso,0.90625,0.833333333333,0.775,
TestSet5iso,0.979166666667,0.908333333333,0.908333333333,
TestSet6iso,0.927083333333,0.833333333333,0.883333333333,
TestSet7iso,0.96875,0.816666666667,0.8,
TestSet8iso,0.9375,0.9,0.85,
TestSet9iso,0.962962962963,0.885714285714,0.733333333333,
TestSet10iso,0.864583333333,0.9,0.741666666667,
TestSet11iso,0.979166666667,0.941666666667,0.833333333333,
TestSet12iso,0.96875,0.916666666667,0.716666666667,
TestSet13iso,0.958333333333,0.708333333333,0.725,
TestSet14iso,0.962962962963,0.92380952381,0.704761904762,
TestSet15iso,0.96875,0.875,0.866666666667,
TestSet16iso,0.927083333333,0.941666666667,0.583333333333,
TestSet17iso,0.895833333333,0.875,0.758333333333,
TestSet18iso,0.96875,0.833333333333,0.925,
TestSet19iso,0.962962962963,0.904761904762,0.72380952381,
TestSet20iso,0.979166666667,0.875,0.741666666667,
TestSet21iso,0.958333333333,0.941666666667,0.733333333333,
TestSet22iso,0.962962962963,0.904761904762,0.819047619048,
TestSet23iso,0.958333333333,0.908333333333,0.741666666667,
TestSet24iso,0.916666666667,0.891666666667,0.725,
TestSet25iso,0.96875,0.808333333333,0.841666666667,
TestSet1copy,0.787234042553,0.95652173913,0.851063829787,
TestSet2copy,0.851063829787,0.869565217391,0.851063829787,
TestSet3copy,0.872340425532,0.95652173913,0.914893617021,
TestSet4copy,0.872340425532,0.95652173913,0.723404255319,
TestSet5copy,0.866666666667,0.952380952381,0.866666666667,
TestSet6copy,0.8125,0.875,0.895833333333,
TestSet7copy,0.826086956522,0.727272727273,0.695652173913,
TestSet8copy,0.893617021277,0.95652173913,0.808510638298,
TestSet9copy,0.872340425532,0.913043478261,0.765957446809,
TestSet10copy,0.826086956522,0.818181818182,0.717391304348,
TestSet11copy,0.916666666667,0.958333333333,0.854166666667,
TestSet12copy,0.875,0.791666666667,0.6875,
TestSet13copy,0.860465116279,0.952380952381,0.790697674419,
TestSet14copy,0.872340425532,0.913043478261,0.702127659574,
TestSet15copy,0.95652173913,0.909090909091,0.826086956522,
TestSet16copy,0.875,0.916666666667,0.5625,
TestSet17copy,0.914893617021,0.869565217391,0.702127659574,
TestSet18copy,0.782608695652,0.954545454545,0.913043478261,
TestSet19copy,0.833333333333,0.875,0.770833333333,
TestSet20copy,0.914893617021,0.826086956522,0.702127659574,
TestSet21copy,0.833333333333,0.958333333333,0.75,
TestSet22copy,0.9375,0.875,0.875,
TestSet23copy,0.8125,0.875,0.645833333333,
TestSet24copy,0.744680851064,0.869565217391,0.765957446809,
TestSet25copy,0.847826086957,0.954545454545,0.891304347826,
TestSet1synth,0.777777777778,0.844444444444,0.909090909091,
TestSet2synth,0.777777777778,0.933333333333,0.869565217391,
TestSet3synth,0.866666666667,0.866666666667,0.869565217391,
TestSet4synth,0.729166666667,0.770833333333,0.84,
TestSet5synth,0.846153846154,0.846153846154,0.892857142857,
TestSet6synth,0.744186046512,0.883720930233,1.0,
TestSet7synth,0.795454545455,0.863636363636,0.772727272727,
TestSet8synth,0.888888888889,0.777777777778,0.866666666667,
TestSet9synth,0.772727272727,0.909090909091,0.863636363636,
TestSet10synth,0.80487804878,0.90243902439,0.85,
TestSet11synth,0.947368421053,0.868421052632,0.941176470588,
TestSet12synth,0.975609756098,0.90243902439,1.0,
TestSet13synth,0.853658536585,0.80487804878,0.761904761905,
TestSet14synth,0.847826086957,0.913043478261,0.96,
TestSet15synth,0.913043478261,0.891304347826,0.875,
TestSet16synth,0.8,0.825,0.952380952381,
TestSet17synth,0.809523809524,0.904761904762,0.857142857143,
TestSet18synth,0.8,0.933333333333,0.818181818182,
TestSet19synth,0.804347826087,0.804347826087,0.791666666667,
TestSet20synth,0.871794871795,0.820512820513,0.85,
TestSet21synth,0.897435897436,0.871794871795,1.0,
TestSet22synth,0.823529411765,0.882352941176,0.962962962963,
TestSet23synth,0.861111111111,0.861111111111,0.941176470588,
TestSet24synth,0.837837837838,0.837837837838,0.8125,
TestSet25synth,0.906976744186,0.860465116279,0.842105263158,
