Test Set,Iso Train,ER Train,Process Train, ,Test Set,Iso Train,ER Train,Process Train, ,Test Set,Iso Train,ER Train,Process Train, 
Run1-iso,0.448377581121,0.457227138643,0.386430678466, ,Run1-er,0.426380368098,0.534482758621,0.362068965517, ,Run1-process,0.421875,0.442708333333,0.467289719626, 
Run2-iso,0.479411764706,0.426470588235,0.373529411765, ,Run2-er,0.426829268293,0.538461538462,0.388888888889, ,Run2-process,0.405128205128,0.389743589744,0.392523364486, 
Run3-iso,0.47005988024,0.428143712575,0.359281437126, ,Run3-er,0.43606557377,0.462962962963,0.444444444444, ,Run3-process,0.373134328358,0.308457711443,0.474137931034, 
Run4-iso,0.429824561404,0.450292397661,0.423976608187, ,Run4-er,0.419463087248,0.548076923077,0.326923076923, ,Run4-process,0.366336633663,0.371287128713,0.398230088496, 
Run5-iso,0.428985507246,0.43768115942,0.391304347826, ,Run5-er,0.410423452769,0.48623853211,0.348623853211, ,Run5-process,0.295698924731,0.333333333333,0.470588235294, 
Run6-iso,0.489552238806,0.397014925373,0.426865671642, ,Run6-er,0.41935483871,0.447488584475,0.369863013699, ,Run6-process,0.391304347826,0.391304347826,0.425742574257, 
Run7-iso,0.454022988506,0.405172413793,0.413793103448, ,Run7-er,0.450920245399,0.487068965517,0.400862068966, ,Run7-process,0.375661375661,0.259259259259,0.442307692308, 
Run8-iso,0.507418397626,0.40059347181,0.424332344214, ,Run8-er,0.470779220779,0.52752293578,0.376146788991, ,Run8-process,0.416666666667,0.327777777778,0.5, 
Run9-iso,0.485465116279,0.395348837209,0.404069767442, ,Run9-er,0.488958990536,0.424107142857,0.379464285714, ,Run9-process,0.421875,0.40625,0.449541284404, 
Run10-iso,0.423631123919,0.403458213256,0.377521613833, ,Run10-er,0.478405315615,0.521327014218,0.331753554502, ,Run10-process,0.459770114943,0.264367816092,0.344444444444, 
Run11-iso,0.462908011869,0.445103857567,0.385756676558, ,Run11-er,0.414715719064,0.533333333333,0.319047619048, ,Run11-process,0.395939086294,0.38578680203,0.416666666667, 
Run12-iso,0.433234421365,0.448071216617,0.40059347181, ,Run12-er,0.384615384615,0.519480519481,0.398268398268, ,Run12-process,0.372549019608,0.343137254902,0.40350877193, 
Run13-iso,0.440579710145,0.405797101449,0.382608695652, ,Run13-er,0.394984326019,0.422907488987,0.325991189427, ,Run13-process,0.394594594595,0.335135135135,0.407766990291, 
Run14-iso,0.458823529412,0.470588235294,0.358823529412, ,Run14-er,0.407643312102,0.466666666667,0.364444444444, ,Run14-process,0.367346938776,0.341836734694,0.268518518519, 
Run15-iso,0.424855491329,0.387283236994,0.378612716763, ,Run15-er,0.401960784314,0.578703703704,0.439814814815, ,Run15-process,0.449197860963,0.385026737968,0.52427184466, 
Run16-iso,0.405325443787,0.46449704142,0.387573964497, ,Run16-er,0.428082191781,0.49756097561,0.336585365854, ,Run16-process,0.35593220339,0.367231638418,0.489130434783, 
Run17-iso,0.436201780415,0.445103857567,0.370919881306, ,Run17-er,0.442307692308,0.463636363636,0.395454545455, ,Run17-process,0.413265306122,0.357142857143,0.333333333333, 
Run18-iso,0.368421052632,0.412280701754,0.385964912281, ,Run18-er,0.355400696864,0.61,0.3, ,Run18-process,0.418604651163,0.348837209302,0.370786516854, 
Run19-iso,0.416666666667,0.425287356322,0.379310344828, ,Run19-er,0.372093023256,0.549763033175,0.298578199052, ,Run19-process,0.343949044586,0.261146496815,0.456790123457, 
Run20-iso,0.447058823529,0.444117647059,0.358823529412, ,Run20-er,0.421686746988,0.478991596639,0.378151260504, ,Run20-process,0.370165745856,0.337016574586,0.418367346939, 
Run21-iso,0.437869822485,0.426035502959,0.366863905325, ,Run21-er,0.325732899023,0.47247706422,0.376146788991, ,Run21-process,0.421621621622,0.318918918919,0.469387755102, 
Run22-iso,0.426035502959,0.423076923077,0.426035502959, ,Run22-er,0.404255319149,0.489451476793,0.383966244726, ,Run22-process,0.366492146597,0.314136125654,0.436363636364, 
Run23-iso,0.495575221239,0.41592920354,0.395280235988, ,Run23-er,0.458333333333,0.513636363636,0.381818181818, ,Run23-process,0.390243902439,0.29756097561,0.534482758621, 
Run24-iso,0.418128654971,0.429824561404,0.400584795322, ,Run24-er,0.366438356164,0.614634146341,0.331707317073, ,Run24-process,0.402298850575,0.362068965517,0.505376344086, 
Run25-iso,0.464285714286,0.47619047619,0.395833333333, ,Run25-er,0.449044585987,0.535714285714,0.34375, ,Run25-process,0.337209302326,0.279069767442,0.372340425532, 
