Test Set,Iso Train,Copy Train,Synth Train
Run1-iso,0.958333333333,0.864583333333,0.8
Run2-iso,0.932249322493,0.864516129032,0.729032258065
Run3-iso,0.89701897019,0.797849462366,0.731182795699
Run4-iso,0.929539295393,0.821505376344,0.774193548387
Run5-iso,0.937669376694,0.87311827957,0.774193548387
Run6-iso,0.945799457995,0.845161290323,0.789247311828
Run7-iso,0.9453125,0.83125,0.81875
Run8-iso,0.916666666667,0.8375,0.80625
Run9-iso,0.934959349593,0.832258064516,0.741935483871
Run10-iso,0.907859078591,0.782795698925,0.761290322581
Run11-iso,0.964769647696,0.870967741935,0.776344086022
Run12-iso,0.9296875,0.8375,0.7375
Run13-iso,0.929539295393,0.834408602151,0.776344086022
Run14-iso,0.943089430894,0.836559139785,0.787096774194
Run15-iso,0.9296875,0.85,0.745833333333
Run16-iso,0.924479166667,0.841666666667,0.75625
Run17-iso,0.9296875,0.85625,0.74375
Run18-iso,0.905149051491,0.789247311828,0.769892473118
Run19-iso,0.942708333333,0.833333333333,0.789583333333
Run20-iso,0.945799457995,0.860215053763,0.74623655914
Run21-iso,0.947916666667,0.814583333333,0.772916666667
Run22-iso,0.956639566396,0.868817204301,0.772043010753
Run23-iso,0.932249322493,0.858064516129,0.767741935484
Run24-iso,0.937669376694,0.802150537634,0.748387096774
Run25-iso,0.958333333333,0.864583333333,0.795833333333
Run1-copy,0.926315789474,0.957446808511,0.726315789474
Run2-copy,0.842931937173,0.947368421053,0.701570680628
Run3-copy,0.832432432432,0.956043956044,0.762162162162
Run4-copy,0.864130434783,0.966666666667,0.788043478261
Run5-copy,0.848167539267,0.936842105263,0.774869109948
Run6-copy,0.854838709677,0.945652173913,0.768817204301
Run7-copy,0.890710382514,0.943820224719,0.819672131148
Run8-copy,0.899470899471,0.94623655914,0.809523809524
Run9-copy,0.870967741935,0.967391304348,0.725806451613
Run10-copy,0.913043478261,0.933333333333,0.826086956522
Run11-copy,0.899470899471,0.967741935484,0.772486772487
Run12-copy,0.902173913043,0.966666666667,0.739130434783
Run13-copy,0.891891891892,0.923076923077,0.772972972973
Run14-copy,0.905263157895,0.978723404255,0.721052631579
Run15-copy,0.864130434783,0.922222222222,0.728260869565
Run16-copy,0.913043478261,0.955555555556,0.771739130435
Run17-copy,0.904761904762,0.967741935484,0.783068783069
Run18-copy,0.891304347826,0.966666666667,0.782608695652
Run19-copy,0.880434782609,0.966666666667,0.760869565217
Run20-copy,0.886486486486,0.945054945055,0.772972972973
Run21-copy,0.891304347826,0.966666666667,0.815217391304
Run22-copy,0.882978723404,0.945652173913,0.835106382979
Run23-copy,0.865591397849,0.934782608696,0.779569892473
Run24-copy,0.875675675676,0.967032967033,0.789189189189
Run25-copy,0.910052910053,0.94623655914,0.783068783069
Run1-synth,0.84,0.805714285714,0.910112359551
Run2-synth,0.840909090909,0.840909090909,0.901098901099
Run3-synth,0.77094972067,0.754189944134,0.868131868132
Run4-synth,0.824561403509,0.818713450292,0.894117647059
Run5-synth,0.810344827586,0.827586206897,0.875
Run6-synth,0.825301204819,0.807228915663,0.940476190476
Run7-synth,0.911764705882,0.858823529412,0.914634146341
Run8-synth,0.78612716763,0.803468208092,0.845238095238
Run9-synth,0.816091954023,0.787356321839,0.9
Run10-synth,0.831460674157,0.814606741573,0.858695652174
Run11-synth,0.865168539326,0.842696629213,0.934065934066
Run12-synth,0.860606060606,0.8,0.851851851852
Run13-synth,0.842424242424,0.836363636364,0.925
Run14-synth,0.843243243243,0.789189189189,0.833333333333
Run15-synth,0.878612716763,0.838150289017,0.835294117647
Run16-synth,0.846153846154,0.852071005917,0.879518072289
Run17-synth,0.81976744186,0.81976744186,0.833333333333
Run18-synth,0.818713450292,0.783625730994,0.863636363636
Run19-synth,0.868263473054,0.820359281437,0.927710843373
Run20-synth,0.843930635838,0.820809248555,0.873563218391
Run21-synth,0.831325301205,0.831325301205,0.901234567901
Run22-synth,0.826086956522,0.820652173913,0.902173913043
Run23-synth,0.887005649718,0.83615819209,0.934065934066
Run24-synth,0.809523809524,0.833333333333,0.853658536585
Run25-synth,0.904494382022,0.837078651685,0.901098901099
