Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train
Run1-iso,0.953125,0.814583333,0.709205021,,Run1-copy,0.842105263,0.904255319,0.693121693,,Run1-synth,0.811428571,0.857142857,0.853932584
Run2-iso,0.924119241,0.821505376,0.747300216,,Run2-copy,0.785340314,0.936842105,0.705263158,,Run2-synth,0.761363636,0.8125,0.879120879
Run3-iso,0.905149051,0.80387931,0.691810345,,Run3-copy,0.794594595,0.879120879,0.772972973,,Run3-synth,0.782122905,0.815642458,0.813186813
Run4-iso,0.932249322,0.825806452,0.733333333,,Run4-copy,0.831521739,0.911111111,0.72826087,,Run4-synth,0.789473684,0.783625731,0.847058824
Run5-iso,0.929539295,0.793548387,0.675268817,,Run5-copy,0.858638743,0.863157895,0.657894737,,Run5-synth,0.810344828,0.804597701,0.840909091
Run6-iso,0.926829268,0.827956989,0.69047619,,Run6-copy,0.85483871,0.869565217,0.681081081,,Run6-synth,0.807228916,0.825301205,0.857142857
Run7-iso,0.901041667,0.85625,0.741666667,,Run7-copy,0.797814208,0.91011236,0.743169399,,Run7-synth,0.770588235,0.841176471,0.829268293
Run8-iso,0.927083333,0.81875,0.752083333,,Run8-copy,0.825396825,0.88172043,0.724867725,,Run8-synth,0.74566474,0.780346821,0.773809524
Run9-iso,0.964769648,0.827956989,0.724511931,,Run9-copy,0.844086022,0.913043478,0.675675676,,Run9-synth,0.775862069,0.798850575,0.788888889
Run10-iso,0.921409214,0.797413793,0.686021505,,Run10-copy,0.846153846,0.922222222,0.710382514,,Run10-synth,0.764044944,0.814606742,0.836956522
Run11-iso,0.937669377,0.834051724,0.773626374,,Run11-copy,0.825396825,0.903225806,0.744680851,,Run11-synth,0.792134831,0.837078652,0.879120879
Run12-iso,0.9296875,0.835416667,0.729166667,,Run12-copy,0.793478261,0.911111111,0.683060109,,Run12-synth,0.751515152,0.812121212,0.827160494
Run13-iso,0.937669377,0.840860215,0.707526882,,Run13-copy,0.832432432,0.923076923,0.75,,Run13-synth,0.787878788,0.860606061,0.85
Run14-iso,0.918699187,0.84516129,0.707526882,,Run14-copy,0.810526316,0.925531915,0.694736842,,Run14-synth,0.789189189,0.821621622,0.760416667
Run15-iso,0.916666667,0.85,0.75625,,Run15-copy,0.858695652,0.9,0.722826087,,Run15-synth,0.786127168,0.797687861,0.811764706
Run16-iso,0.9296875,0.829166667,0.653444676,,Run16-copy,0.809782609,0.933333333,0.68852459,,Run16-synth,0.769230769,0.810650888,0.855421687
Run17-iso,0.921875,0.85625,0.79375,,Run17-copy,0.841269841,0.903225806,0.756613757,,Run17-synth,0.796511628,0.819767442,0.845238095
Run18-iso,0.926829268,0.827586207,0.733480176,,Run18-copy,0.826086957,0.911111111,0.732240437,,Run18-synth,0.830409357,0.795321637,0.875
Run19-iso,0.9453125,0.858333333,0.697916667,,Run19-copy,0.836956522,0.888888889,0.721311475,,Run19-synth,0.814371257,0.856287425,0.86746988
Run20-iso,0.926829268,0.808602151,0.746236559,,Run20-copy,0.875675676,0.857142857,0.772972973,,Run20-synth,0.832369942,0.820809249,0.781609195
Run21-iso,0.9453125,0.802083333,0.688935282,,Run21-copy,0.826086957,0.9,0.699453552,,Run21-synth,0.855421687,0.84939759,0.827160494
Run22-iso,0.937669377,0.834408602,0.795258621,,Run22-copy,0.824468085,0.869565217,0.792553191,,Run22-synth,0.826086957,0.847826087,0.858695652
Run23-iso,0.937669377,0.879569892,0.696969697,,Run23-copy,0.833333333,0.934782609,0.691891892,,Run23-synth,0.813559322,0.84180791,0.879120879
Run24-iso,0.945799458,0.795698925,0.704741379,,Run24-copy,0.832432432,0.879120879,0.708108108,,Run24-synth,0.80952381,0.827380952,0.865853659
Run25-iso,0.921875,0.841666667,0.69874477,,Run25-copy,0.857142857,0.924731183,0.680851064,,Run25-synth,0.820224719,0.775280899,0.846153846
